Frame,Frametime,glfwPollEvents,InputUpdate,PlayerUpdate,WorldUpdate,Raycasting,CsvStuff,Draw UI,Update,ImGuiRender,WorldDrawChunks,DrawChunks,OpenGLRender,ChunkBuildMesh
3516,8754,17,19,2,0,0,8,11,31,61,98,101,119,
3517,8018,97,101,1,0,0,7,7,111,41,72,74,86,
3518,8524,132,137,2,0,0,12,11,157,47,72,75,93,
3519,8136,14,17,1,0,0,7,14,28,48,88,91,111,
3520,8616,15,18,2,0,0,6,10,29,48,71,73,89,
3521,8476,15,19,2,0,0,7,9,29,57,70,72,87,
3522,8292,19,22,2,0,0,13,8,40,69,92,95,110,
3523,7929,14,17,1,0,0,6,11,27,39,72,74,92,
3524,8575,14,17,1,0,0,6,7,26,44,73,75,88,
3525,7982,15,18,2,0,0,6,10,28,44,68,70,87,
3526,8796,14,17,2,0,0,6,10,27,41,69,71,88,
3527,8043,47,51,2,0,0,8,8,63,67,97,100,116,
3528,8775,16,19,2,0,0,7,10,30,52,71,73,89,
3529,7930,22,25,2,0,0,7,11,36,48,71,74,91,
3530,8609,13,17,2,0,0,7,9,28,49,68,71,86,
3531,8326,13,16,2,0,0,5,9,26,44,78,80,95,
3532,8580,14,17,1,0,0,7,10,27,45,75,77,94,
3533,7984,13,16,2,0,0,7,7,28,50,74,76,89,
3534,9078,18,21,3,0,0,9,13,36,58,115,119,143,
3535,7878,21,24,2,0,0,11,13,41,71,124,128,150,
3536,8544,48,52,3,0,0,10,9,67,60,102,104,122,
3537,7772,19,22,3,0,0,9,10,36,64,88,90,108,
3538,8848,16,20,2,0,0,8,9,31,46,72,74,90,
3539,7979,16,19,2,0,0,8,10,31,45,94,96,114,
3540,8611,13,16,1,0,0,6,10,26,44,92,95,111,
3541,7927,16,19,1,0,0,7,11,30,52,75,77,95,
3542,8365,12,15,2,0,0,7,8,26,48,80,82,96,
3543,8278,17,20,2,0,0,8,8,33,53,78,81,95,
3544,8518,44,49,2,0,0,11,8,66,64,74,76,92,
3545,7874,15,18,2,0,0,6,7,28,52,71,73,85,
3546,8581,12,15,1,0,0,8,10,26,43,88,90,107,
3547,8299,18,31,2,0,0,15,7,52,40,68,70,83,
3548,8524,19,22,3,0,0,10,10,37,58,93,95,112,
3549,7936,15,18,2,0,0,7,10,29,44,70,72,90,
3550,8615,13,15,1,0,0,5,6,24,44,72,74,86,
3551,8037,15,18,2,0,0,7,9,29,42,77,79,96,
3552,8926,13,16,1,0,0,7,9,26,39,72,74,89,
3553,7819,16,19,3,0,0,19,9,43,59,95,97,113,
3554,8559,17,20,2,0,0,6,10,30,42,73,75,92,
3555,8378,16,19,2,0,0,7,9,30,42,73,75,90,
3556,8466,18,23,3,0,0,9,12,37,59,97,100,120,
3557,7893,13,17,2,0,0,7,9,28,47,71,73,88,
3558,9019,13,16,2,0,0,6,7,26,46,69,71,83,
3559,7767,14,16,1,0,0,7,11,26,46,75,77,95,
3560,8681,15,18,1,0,0,7,10,29,49,90,93,110,
3561,7877,14,16,2,0,0,6,10,27,42,86,89,113,
3562,8800,12,15,2,0,0,7,9,25,43,73,76,91,
3563,8060,19,22,2,0,0,9,11,35,58,85,88,106,
